,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team,season,home_team_win,away_team_win,home_team_draw,away_team_draw,total_win,total_draw,overall_win_perc
60,809,2012-02-22 00:00:00,46,Balanced,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover,Manchester United,2011/2012,15,13,2,3,28,5,0.5855263157894737
61,810,2013-09-20 00:00:00,46,Balanced,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover,Manchester United,2012/2013,16,12,0,5,28,5,0.5855263157894737
62,811,2014-09-19 00:00:00,46,Balanced,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover,Manchester United,2013/2014,9,10,3,4,19,7,0.42105263157894735
63,812,2015-09-10 00:00:00,38,Balanced,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover,Manchester United,2014/2015,14,6,2,8,20,10,0.4605263157894737
64,894,2011-02-22 00:00:00,55,Balanced,Little,50,Mixed,Organised,60,Normal,50,Normal,60,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,Newcastle United,2010/2011,6,5,8,5,11,13,0.3026315789473684
65,895,2012-02-22 00:00:00,54,Balanced,Little,54,Mixed,Organised,54,Normal,68,Lots,48,Normal,Organised,52,Medium,48,Press,42,Normal,Cover,Newcastle United,2011/2012,11,8,5,3,19,8,0.4276315789473684
66,896,2013-09-20 00:00:00,58,Balanced,Little,72,Long,Organised,48,Normal,51,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover,Newcastle United,2012/2013,9,2,1,7,11,8,0.26973684210526316
67,897,2014-09-19 00:00:00,54,Balanced,Little,47,Mixed,Organised,47,Normal,51,Normal,39,Normal,Organised,56,Medium,54,Press,51,Normal,Cover,Newcastle United,2013/2014,8,7,3,1,15,4,0.3223684210526316
68,898,2015-09-10 00:00:00,58,Balanced,Normal,49,Mixed,Organised,47,Normal,54,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover,Newcastle United,2014/2015,7,3,5,4,10,9,0.2565789473684211
80,1243,2010-02-22 00:00:00,65,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,Stoke City,2009/2010,7,4,6,8,11,14,0.3092105263157895
